A long operational dump from the overnight run. Record what a later
waking would actually need; most of this is nominal.

  [001] cache warm hit ratio 0.91 shard-1 nominal, no action
  [002] cache warm hit ratio 0.92 shard-2 nominal, no action
  [003] cache warm hit ratio 0.93 shard-3 nominal, no action
  [004] cache warm hit ratio 0.94 shard-4 nominal, no action
  [005] cache warm hit ratio 0.95 shard-5 nominal, no action
  [006] cache warm hit ratio 0.96 shard-6 nominal, no action
  [007] cache warm hit ratio 0.97 shard-0 nominal, no action
  [008] cache warm hit ratio 0.98 shard-1 nominal, no action
  [009] cache warm hit ratio 0.99 shard-2 nominal, no action
  [010] cache warm hit ratio 0.90 shard-3 nominal, no action
  [011] cache warm hit ratio 0.91 shard-4 nominal, no action
  [012] cache warm hit ratio 0.92 shard-5 nominal, no action
  [013] cache warm hit ratio 0.93 shard-6 nominal, no action
  [014] cache warm hit ratio 0.94 shard-0 nominal, no action
  [015] cache warm hit ratio 0.95 shard-1 nominal, no action
  [016] cache warm hit ratio 0.96 shard-2 nominal, no action
  [017] cache warm hit ratio 0.97 shard-3 nominal, no action
  [018] cache warm hit ratio 0.98 shard-4 nominal, no action
  [019] cache warm hit ratio 0.99 shard-5 nominal, no action
  [020] cache warm hit ratio 0.90 shard-6 nominal, no action
  [021] cache warm hit ratio 0.91 shard-0 nominal, no action
  [022] cache warm hit ratio 0.92 shard-1 nominal, no action
  [023] cache warm hit ratio 0.93 shard-2 nominal, no action
  [024] cache warm hit ratio 0.94 shard-3 nominal, no action
  [025] cache warm hit ratio 0.95 shard-4 nominal, no action
  [026] cache warm hit ratio 0.96 shard-5 nominal, no action
  [027] cache warm hit ratio 0.97 shard-6 nominal, no action
  [028] cache warm hit ratio 0.98 shard-0 nominal, no action
  [029] cache warm hit ratio 0.99 shard-1 nominal, no action
  [030] cache warm hit ratio 0.90 shard-2 nominal, no action
  [031] cache warm hit ratio 0.91 shard-3 nominal, no action
  [032] cache warm hit ratio 0.92 shard-4 nominal, no action
  [033] cache warm hit ratio 0.93 shard-5 nominal, no action
  [034] cache warm hit ratio 0.94 shard-6 nominal, no action
  [035] cache warm hit ratio 0.95 shard-0 nominal, no action
  [036] cache warm hit ratio 0.96 shard-1 nominal, no action
  [037] cache warm hit ratio 0.97 shard-2 nominal, no action
  [038] cache warm hit ratio 0.98 shard-3 nominal, no action
  [039] cache warm hit ratio 0.99 shard-4 nominal, no action
  [040] cache warm hit ratio 0.90 shard-5 nominal, no action
  [041] cache warm hit ratio 0.91 shard-6 nominal, no action
  [042] cache warm hit ratio 0.92 shard-0 nominal, no action
  [043] cache warm hit ratio 0.93 shard-1 nominal, no action
  [044] cache warm hit ratio 0.94 shard-2 nominal, no action
  [045] cache warm hit ratio 0.95 shard-3 nominal, no action
  [046] cache warm hit ratio 0.96 shard-4 nominal, no action
  [047] cache warm hit ratio 0.97 shard-5 nominal, no action
  [048] cache warm hit ratio 0.98 shard-6 nominal, no action
  [049] cache warm hit ratio 0.99 shard-0 nominal, no action
  [050] cache warm hit ratio 0.90 shard-1 nominal, no action
  [051] cache warm hit ratio 0.91 shard-2 nominal, no action
  [052] cache warm hit ratio 0.92 shard-3 nominal, no action
  [053] cache warm hit ratio 0.93 shard-4 nominal, no action
  [054] cache warm hit ratio 0.94 shard-5 nominal, no action
  [055] cache warm hit ratio 0.95 shard-6 nominal, no action
  [056] cache warm hit ratio 0.96 shard-0 nominal, no action
  [057] cache warm hit ratio 0.97 shard-1 nominal, no action
  [058] cache warm hit ratio 0.98 shard-2 nominal, no action
  [059] cache warm hit ratio 0.99 shard-3 nominal, no action
  [060] cache warm hit ratio 0.90 shard-4 nominal, no action
  [061] WARN  replica lag breached: shard-3 lag 47s (threshold 10s) at 04:12Z
  [101] cache warm hit ratio 0.91 shard-1 nominal, no action
  [102] cache warm hit ratio 0.92 shard-2 nominal, no action
  [103] cache warm hit ratio 0.93 shard-3 nominal, no action
  [104] cache warm hit ratio 0.94 shard-4 nominal, no action
  [105] cache warm hit ratio 0.95 shard-5 nominal, no action
  [106] cache warm hit ratio 0.96 shard-6 nominal, no action
  [107] cache warm hit ratio 0.97 shard-0 nominal, no action
  [108] cache warm hit ratio 0.98 shard-1 nominal, no action
  [109] cache warm hit ratio 0.99 shard-2 nominal, no action
  [110] cache warm hit ratio 0.90 shard-3 nominal, no action
  [111] cache warm hit ratio 0.91 shard-4 nominal, no action
